height,locator_class,locator_css,locator_id,locator_linkText,locator_name,locator_partialLinkText,locator_tag,locator_xpath,tag,text,widget_id,width,x,y
44,ac-gn-link ac-gn-link-apple,a#ac-gn-firstfocus,ac-gn-firstfocus,Apple,0,Apple,A,/html/body/nav/div/ul[2]/li/a,A,Apple,1,36,100,0
44,ac-gn-link ac-gn-link-mac,nav#ac-globalnav > div > ul:nth-of-type(2) > li:nth-of-type(2) > a,0,Mac,0,Mac,A,/html/body/nav/div/ul[2]/li[2]/a,A,Mac,2,46,192,0
44,ac-gn-link ac-gn-link-ipad,nav#ac-globalnav > div > ul:nth-of-type(2) > li:nth-of-type(3) > a,0,iPad,0,iPad,A,/html/body/nav/div/ul[2]/li[3]/a,A,iPad,3,47,294,0
44,ac-gn-link ac-gn-link-iphone,nav#ac-globalnav > div > ul:nth-of-type(2) > li:nth-of-type(4) > a,0,iPhone,0,iPhone,A,/html/body/nav/div/ul[2]/li[4]/a,A,iPhone,4,64,397,0
44,ac-gn-link ac-gn-link-watch,nav#ac-globalnav > div > ul:nth-of-type(2) > li:nth-of-type(5) > a,0,Watch,0,Watch,A,/html/body/nav/div/ul[2]/li[5]/a,A,Watch,5,60,517,0
44,ac-gn-link ac-gn-link-tv,nav#ac-globalnav > div > ul:nth-of-type(2) > li:nth-of-type(6) > a,0,TV,0,TV,A,/html/body/nav/div/ul[2]/li[6]/a,A,TV,6,38,634,0
44,ac-gn-link ac-gn-link-music,nav#ac-globalnav > div > ul:nth-of-type(2) > li:nth-of-type(7) > a,0,Music,0,Music,A,/html/body/nav/div/ul[2]/li[7]/a,A,Music,7,57,728,0
44,ac-gn-link ac-gn-link-support,nav#ac-globalnav > div > ul:nth-of-type(2) > li:nth-of-type(8) > a,0,Support,0,Support,A,/html/body/nav/div/ul[2]/li[8]/a,A,Support,8,72,841,0
44,ac-gn-link ac-gn-link-search,a#ac-gn-link-search,ac-gn-link-search,,0,,A,/html/body/nav/div/ul[2]/li[9]/a,A,,9,38,969,0
44,ac-gn-link ac-gn-link-bag,li#ac-gn-bag > div > a,0,Shopping Bag,0,Shopping B,A,/html/body/nav/div/ul[2]/li[10]/div/a,A,Shopping Bag,10,37,1063,0
624,unit-link,html > body > main > section > div > div > div > a,0,,0,,A,/html/body/main/section/div/div/div/a,A,,11,1200,0,0
12,footnote,html > body > main > section > div > div > div > div > p > sup > a,0,1,0,1,A,/html/body/main/section/div/div/div/div/p/sup/a,A,1,12,4,750,199
25,icon icon-after icon-chevronright,html > body > main > section > div > div > div > div > div > a,0,Learn more,0,Learn more,A,/html/body/main/section/div/div/div/div/div/a,A,Learn more,13,117,501,234
25,icon icon-after icon-chevronright,html > body > main > section > div > div > div > div > div > a:nth-of-type(2),0,Buy,0,Buy,A,/html/body/main/section/div/div/div/div/div/a[2],A,Buy,14,50,648,234
624,unit-link,html > body > main > section > div:nth-of-type(2) > div > div > a,0,,0,,A,/html/body/main/section/div[2]/div/div/a,A,,15,1200,0,592
12,footnote,html > body > main > section > div:nth-of-type(2) > div > div > div > p > sup > a,0,1,0,1,A,/html/body/main/section/div[2]/div/div/div/p/sup/a,A,1,16,4,750,791
25,icon icon-after icon-chevronright,html > body > main > section > div:nth-of-type(2) > div > div > div > div > a,0,Learn more,0,Learn more,A,/html/body/main/section/div[2]/div/div/div/div/a,A,Learn more,17,117,501,826
25,icon icon-after icon-chevronright,html > body > main > section > div:nth-of-type(2) > div > div > div > div > a:nth-of-type(2),0,Buy,0,Buy,A,/html/body/main/section/div[2]/div/div/div/div/a[2],A,Buy,18,50,648,826
624,unit-link,html > body > main > section > div:nth-of-type(3) > div > div > a,0,,0,,A,/html/body/main/section/div[3]/div/div/a,A,,19,1200,0,1184
44,icon icon-after icon- button button-elevated,html > body > main > section > div:nth-of-type(3) > div > div > div > div > a,0,Try it free,0,Try it fre,A,/html/body/main/section/div[3]/div/div/div/div/a,A,Try it free,20,117,468,1694
25,icon icon-after icon-chevronright,html > body > main > section > div:nth-of-type(3) > div > div > div > div > a:nth-of-type(2),0,Learn more,0,Learn more,A,/html/body/main/section/div[3]/div/div/div/div/a[2],A,Learn more,21,117,615,1702
624,unit-link,html > body > main > section:nth-of-type(2) > div > div > div > a,0,,0,,A,/html/body/main/section[2]/div/div/div/a,A,,22,582,12,1776
