height,locator_class,locator_css,locator_id,locator_linkText,locator_name,locator_partialLinkText,locator_tag,locator_xpath,tag,text,widget_id,width,x,y
14,0,div#cookie-disclosure > p > a,0,Learn more,0,Learn more,A,/html/body/div/div/div/p/a,A,Learn more,1,66,573,11
14,pointer,div#cookie-disclosure > p > a:nth-of-type(2),0,change your cookie preferences,0,change you,A,/html/body/div/div/div/p/a[2],A,change your cookie preferences,2,184,656,11
90,svg-nfLogo signupBasicHeader,html > body > div > div > div:nth-of-type(2) > a,0,Netflix,0,Netflix,A,/html/body/div/div/div[2]/a,A,Netflix,3,167,36,55
33,authLinks signupBasicHeader,html > body > div > div > div:nth-of-type(2) > a:nth-of-type(2),0,Sign In,0,Sign In,A,/html/body/div/div/div[2]/a[2],A,Sign In,4,83,1081,73
44,btn hero-cta-btn btn-large btn-red,form#formstart > button,0,,0,,BUTTON,/html/body/div/div/div[3]/div/div/div[2]/div[3]/form/button,BUTTON,JOIN FREE FOR A MONTH,5,269,36,360
50,btn btn-large btn-red,form#formstart > button,0,,0,,BUTTON,/html/body/div/div/div[3]/div[2]/div[3]/div/div/div/div[2]/form/button,BUTTON,JOIN FREE FOR A MONTH,6,253,180,990
19,footer-top-a,html > body > div > div > div:nth-of-type(4) > div:nth-of-type(2) > p > a,0,0800-917812,0,0800-91781,A,/html/body/div/div/div[4]/div[2]/p/a,A,0800-917812,7,95,217,1454
16,footer-link,html > body > div > div > div:nth-of-type(4) > div:nth-of-type(2) > ul > li > a,0,FAQ,0,FAQ,A,/html/body/div/div/div[4]/div[2]/ul/li/a,A,FAQ,8,25,100,1503
16,footer-link,html > body > div > div > div:nth-of-type(4) > div:nth-of-type(2) > ul > li:nth-of-type(2) > a,0,Help Center,0,Help Cente,A,/html/body/div/div/div[4]/div[2]/ul/li[2]/a,A,Help Center,9,70,350,1503
16,footer-link,html > body > div > div > div:nth-of-type(4) > div:nth-of-type(2) > ul > li:nth-of-type(3) > a,0,Account,0,Account,A,/html/body/div/div/div[4]/div[2]/ul/li[3]/a,A,Account,10,48,600,1503
16,footer-link,html > body > div > div > div:nth-of-type(4) > div:nth-of-type(2) > ul > li:nth-of-type(4) > a,0,Media Center,0,Media Cent,A,/html/body/div/div/div[4]/div[2]/ul/li[4]/a,A,Media Center,11,79,850,1503
16,footer-link,html > body > div > div > div:nth-of-type(4) > div:nth-of-type(2) > ul > li:nth-of-type(5) > a,0,Investor Relations,0,Investor R,A,/html/body/div/div/div[4]/div[2]/ul/li[5]/a,A,Investor Relations,12,104,100,1535
16,footer-link,html > body > div > div > div:nth-of-type(4) > div:nth-of-type(2) > ul > li:nth-of-type(6) > a,0,Jobs,0,Jobs,A,/html/body/div/div/div[4]/div[2]/ul/li[6]/a,A,Jobs,13,28,350,1535
16,footer-link,html > body > div > div > div:nth-of-type(4) > div:nth-of-type(2) > ul > li:nth-of-type(7) > a,0,Gift Cards,0,Gift Cards,A,/html/body/div/div/div[4]/div[2]/ul/li[7]/a,A,Gift Cards,14,59,600,1535
16,footer-link,html > body > div > div > div:nth-of-type(4) > div:nth-of-type(2) > ul > li:nth-of-type(8) > a,0,Ways to Watch,0,Ways to Wa,A,/html/body/div/div/div[4]/div[2]/ul/li[8]/a,A,Ways to Watch,15,87,850,1535
16,footer-link,html > body > div > div > div:nth-of-type(4) > div:nth-of-type(2) > ul > li:nth-of-type(9) > a,0,Terms of Use,0,Terms of U,A,/html/body/div/div/div[4]/div[2]/ul/li[9]/a,A,Terms of Use,16,76,100,1567
16,footer-link,html > body > div > div > div:nth-of-type(4) > div:nth-of-type(2) > ul > li:nth-of-type(10) > a,0,Privacy,0,Privacy,A,/html/body/div/div/div[4]/div[2]/ul/li[10]/a,A,Privacy,17,43,350,1567
16,footer-link,html > body > div > div > div:nth-of-type(4) > div:nth-of-type(2) > ul > li:nth-of-type(11) > a,0,Cookie Preferences,0,Cookie Pre,A,/html/body/div/div/div[4]/div[2]/ul/li[11]/a,A,Cookie Preferences,18,114,600,1567
16,footer-link,html > body > div > div > div:nth-of-type(4) > div:nth-of-type(2) > ul > li:nth-of-type(12) > a,0,Corporate Information,0,Corporate ,A,/html/body/div/div/div[4]/div[2]/ul/li[12]/a,A,Corporate Information,19,128,850,1567
16,footer-link,html > body > div > div > div:nth-of-type(4) > div:nth-of-type(2) > ul > li:nth-of-type(13) > a,0,Contact Us,0,Contact Us,A,/html/body/div/div/div[4]/div[2]/ul/li[13]/a,A,Contact Us,20,66,100,1599
16,footer-link,html > body > div > div > div:nth-of-type(4) > div:nth-of-type(2) > ul > li:nth-of-type(14) > a,0,Speed Test,0,Speed Test,A,/html/body/div/div/div[4]/div[2]/ul/li[14]/a,A,Speed Test,21,65,350,1599
16,footer-link,html > body > div > div > div:nth-of-type(4) > div:nth-of-type(2) > ul > li:nth-of-type(15) > a,0,Contact Details,0,Contact De,A,/html/body/div/div/div[4]/div[2]/ul/li[15]/a,A,Contact Details,22,89,600,1599
16,footer-link,html > body > div > div > div:nth-of-type(4) > div:nth-of-type(2) > ul > li:nth-of-type(16) > a,0,Netflix Originals,0,Netflix Or,A,/html/body/div/div/div[4]/div[2]/ul/li[16]/a,A,Netflix Originals,23,91,850,1599
48,ui-select medium,div#lang-switcher > div > div > select,0,,0,,SELECT,/html/body/div/div/div[4]/div[2]/div/div/div/select,SELECT,FrançaisEnglish,24,165,100,1651
