height,locator_class,locator_css,locator_id,locator_linkText,locator_name,locator_partialLinkText,locator_tag,locator_xpath,tag,text,widget_id,width,x,y
18,skiplink,a#skipToMainContent,skipToMainContent,Skip to main content,0,Skip to ma,A,/html/body/div/a,A,Skip to main content,1,154,-9999,0
22,chaseanalytics-track-link regular-link ,html > body > div > div > div > div > div > div > div:nth-of-type(2) > p > a,0,See your choices,0,See your c,A,/html/body/div/div/div/div/div/div/div[2]/p/a,A,See your choices,2,125,987,66
18,browser-message__dismiss-btn,html > body > div > div > div > div > div > div > a,0,Close,0,Close,A,/html/body/div/div/div/div/div/div/a,A,Close,3,16,1168,30
70,header__section__item header__section--sidemenu icon-menu chaseanalytics-track-link,a#skip-sidemenu,skip-sidemenu,Open side menu,0,Open side ,A,/html/body/div/div[5]/header/div[4]/div/a,A,Open side menu,4,22,16,118
25,header__section--dropdown__title__link chaseanalytics-track-link,html > body > div > div:nth-of-type(5) > header > div:nth-of-type(4) > div > div > div > a,0,Open an accountOpens product menu,0,Open an ac,A,/html/body/div/div[5]/header/div[4]/div/div/div/a,A,Open an accountOpens product menu,5,167,70,140
70,header__section--center--link chaseanalytics-track-link,html > body > div > div:nth-of-type(5) > header > div:nth-of-type(4) > div:nth-of-type(2) > a,0,Chase logo links to Chase.com Home Page,0,Chase logo,A,/html/body/div/div[5]/header/div[4]/div[2]/a,A,Chase logo links to Chase.com Home Page,6,179,510,118
25,chaseanalytics-track-link,html > body > div > div:nth-of-type(5) > header > div:nth-of-type(4) > div:nth-of-type(3) > ul > li > a,0,ATM & branch,0,ATM & bran,A,/html/body/div/div[5]/header/div[4]/div[3]/ul/li/a,A,ATM & branch,7,118,917,142
25,chaseanalytics-track-link language-toggle,html > body > div > div:nth-of-type(5) > header > div:nth-of-type(4) > div:nth-of-type(3) > ul > li:nth-of-type(2) > a,0,Español,0,Español,A,/html/body/div/div[5]/header/div[4]/div[3]/ul/li[2]/a,A,Español,8,66,1057,142
70,header__section__item header__section--search icon-search,html > body > div > div:nth-of-type(5) > header > div:nth-of-type(4) > div:nth-of-type(3) > a,0,Show Search,0,Show Searc,A,/html/body/div/div[5]/header/div[4]/div[3]/a,A,Show Search,9,23,1161,118
38,jpui fluid button chase-button siginbox-button chaseanalytics-track-link signin--button,div#signin-module > div:nth-of-type(3) > div > div > div > div:nth-of-type(2) > a,0,Sign in,0,Sign in,A,/html/body/div/div[6]/div/div/div/div[3]/div/div/div/div[2]/a,A,Sign in,10,282,873,281
18,jpui primary link last chaseanalytics-track-link,div#signin-module > div:nth-of-type(3) > div > div > div > div:nth-of-type(3) > a,0,Not enrolled? Sign up now.,0,Not enroll,A,/html/body/div/div[6]/div/div/div/div[3]/div/div/div/div[3]/a,A,Not enrolled? Sign up now.,11,282,873,343
45, regular-link chaseanalytics-opt-exlnk icon icon-facebook,html > body > div > footer > div > div > div > div > div:nth-of-type(2) > ul > li > a,0,"Facebook
                      (Opens Overlay)",0,"Facebook
 ",A,/html/body/div/footer/div/div/div/div/div[2]/ul/li/a,A,"Facebook
                      (Opens Overlay)",12,36,528,900
45, regular-link chaseanalytics-opt-exlnk icon icon-instagram,html > body > div > footer > div > div > div > div > div:nth-of-type(2) > ul > li:nth-of-type(2) > a,0,"Instagram
                      (Opens Overlay)",0,"Instagram
",A,/html/body/div/footer/div/div/div/div/div[2]/ul/li[2]/a,A,"Instagram
                      (Opens Overlay)",13,36,568,900
45, regular-link chaseanalytics-opt-exlnk icon icon-twitter,html > body > div > footer > div > div > div > div > div:nth-of-type(2) > ul > li:nth-of-type(3) > a,0,"Twitter
                      (Opens Overlay)",0,"Twitter
  ",A,/html/body/div/footer/div/div/div/div/div[2]/ul/li[3]/a,A,"Twitter
                      (Opens Overlay)",14,36,608,900
45, regular-link chaseanalytics-opt-exlnk icon icon-youtube,html > body > div > footer > div > div > div > div > div:nth-of-type(2) > ul > li:nth-of-type(4) > a,0,"YouTube
                      (Opens Overlay)",0,"YouTube
  ",A,/html/body/div/footer/div/div/div/div/div[2]/ul/li[4]/a,A,"YouTube
                      (Opens Overlay)",15,36,648,900
45, regular-link chaseanalytics-opt-exlnk icon icon-linkedin,html > body > div > footer > div > div > div > div > div:nth-of-type(2) > ul > li:nth-of-type(5) > a,0,"LinkedIn
                      (Opens Overlay)",0,"LinkedIn
 ",A,/html/body/div/footer/div/div/div/div/div[2]/ul/li[5]/a,A,"LinkedIn
                      (Opens Overlay)",16,36,689,900
45, regular-link chaseanalytics-opt-exlnk icon icon-pinterest,html > body > div > footer > div > div > div > div > div:nth-of-type(2) > ul > li:nth-of-type(6) > a,0,"Pinterest
                      (Opens Overlay)",0,"Pinterest
",A,/html/body/div/footer/div/div/div/div/div[2]/ul/li[6]/a,A,"Pinterest
                      (Opens Overlay)",17,36,729,900
38,chaseanalytics-track-link regular-link ,html > body > div > footer > div > div:nth-of-type(2) > div > div > div:nth-of-type(2) > div > div > div > div > div:nth-of-type(2) > p > a,0,checking account,0,checking a,A,/html/body/div/footer/div/div[2]/div/div/div[2]/div/div/div/div/div[2]/p/a,A,checking account,18,115,22,1127
38,chaseanalytics-track-link regular-link ,html > body > div > footer > div > div:nth-of-type(2) > div > div > div:nth-of-type(2) > div > div > div > div > div:nth-of-type(2) > p > a:nth-of-type(2),0,Chase Premier Plus Checking,0,Chase Prem,A,/html/body/div/footer/div/div[2]/div/div/div[2]/div/div/div/div/div[2]/p/a[2],A,Chase Premier Plus Checking,19,158,22,1170
38,chaseanalytics-track-link regular-link ,html > body > div > footer > div > div:nth-of-type(2) > div > div > div:nth-of-type(2) > div > div > div > div > div:nth-of-type(2) > p > a:nth-of-type(3),0,Chase Coupon,0,Chase Coup,A,/html/body/div/footer/div/div[2]/div/div/div[2]/div/div/div/div/div[2]/p/a[3],A,Chase Coupon,20,146,22,1191
38,chaseanalytics-track-link regular-link ,html > body > div > footer > div > div:nth-of-type(2) > div > div > div:nth-of-type(2) > div > div > div:nth-of-type(2) > div > div:nth-of-type(2) > p > a,0,Open a savings account,0,Open a sav,A,/html/body/div/footer/div/div[2]/div/div/div[2]/div/div/div[2]/div/div[2]/p/a,A,Open a savings account,21,127,223,1149
38,chaseanalytics-track-link regular-link ,html > body > div > footer > div > div:nth-of-type(2) > div > div > div:nth-of-type(2) > div > div > div:nth-of-type(2) > div > div:nth-of-type(2) > p > a:nth-of-type(2),0,see interest rates,0,see intere,A,/html/body/div/footer/div/div[2]/div/div/div[2]/div/div/div[2]/div/div[2]/p/a[2],A,see interest rates,22,143,223,1191
38,chaseanalytics-track-link regular-link ,html > body > div > footer > div > div:nth-of-type(2) > div > div > div:nth-of-type(2) > div > div > div:nth-of-type(3) > div > div:nth-of-type(2) > p > a,0,Starbucks® Rewards Visa® Prepaid Card,0,Starbucks®,A,/html/body/div/footer/div/div[2]/div/div/div[2]/div/div/div[3]/div/div[2]/p/a,A,Starbucks® Rewards Visa® Prepaid Card,23,138,424,1127
17,chaseanalytics-track-link regular-link ,html > body > div > footer > div > div:nth-of-type(2) > div > div > div:nth-of-type(2) > div > div > div:nth-of-type(4) > div > div:nth-of-type(2) > p > a,0,credit cards,0,credit car,A,/html/body/div/footer/div/div[2]/div/div/div[2]/div/div/div[4]/div/div[2]/p/a,A,credit cards,24,65,625,1149
