height,locator_class,locator_css,locator_id,locator_linkText,locator_name,locator_partialLinkText,locator_tag,locator_xpath,tag,text,widget_id,width,x,y
1,in-page-link skip-to-main visuallyhidden focusable,header#SiteNavContainer > div > a,0,Skip to Content,0,Skip to Co,A,/html/body/header/div/a,A,Skip to Content,1,1,-1,-1
35,marketing-nav__logo__shopify,nav#ShopifyMainNav > div > a,0,Home,0,Home,A,/html/body/header/div/nav/div/a,A,Home,2,121,78,22
80,popover-trigger marketing-nav__item marketing-nav__item--primary,nav#ShopifyMainNav > ul > li > div > button,0,,0,,BUTTON,/html/body/header/div/nav/ul/li/div/button,BUTTON,Start,3,57,239,0
80,popover-trigger marketing-nav__item marketing-nav__item--primary,nav#ShopifyMainNav > ul > li:nth-of-type(2) > div > button,0,,0,,BUTTON,/html/body/header/div/nav/ul/li[2]/div/button,BUTTON,Sell,4,47,326,0
80,popover-trigger marketing-nav__item marketing-nav__item--primary,nav#ShopifyMainNav > ul > li:nth-of-type(3) > div > button,0,,0,,BUTTON,/html/body/header/div/nav/ul/li[3]/div/button,BUTTON,Market,5,73,403,0
80,popover-trigger marketing-nav__item marketing-nav__item--primary,nav#ShopifyMainNav > ul > li:nth-of-type(4) > div > button,0,,0,,BUTTON,/html/body/header/div/nav/ul/li[4]/div/button,BUTTON,Manage,6,80,506,0
80,marketing-nav__item marketing-nav__item--user,nav#ShopifyMainNav > ul:nth-of-type(2) > li > a,0,Pricing,0,Pricing,A,/html/body/header/div/nav/ul[2]/li/a,A,Pricing,7,57,720,0
80,popover-trigger marketing-nav__item marketing-nav__item--user,nav#ShopifyMainNav > ul:nth-of-type(2) > li:nth-of-type(2) > div > button,0,,0,,BUTTON,/html/body/header/div/nav/ul[2]/li[2]/div/button,BUTTON,Learn,8,62,807,0
80,marketing-nav__item marketing-nav__item--user,nav#ShopifyMainNav > ul:nth-of-type(2) > li:nth-of-type(3) > a,0,Log in,0,Log in,A,/html/body/header/div/nav/ul[2]/li[3]/a,A,Log in,9,49,900,0
44,js-open-signup marketing-nav__button marketing-button marketing-button--small,input#MainNavSignupButton,MainNavSignupButton,,0,,INPUT,/html/body/header/div/nav/ul[2]/li[4]/form/input,INPUT,,10,143,979,18
52,marketing-button js-open-signup js-open-signup homepage-hero__cta,section#Hero > div > div > form > button,0,,0,,BUTTON,/html/body/div[3]/main/section/div/div/form/button,BUTTON,Start free trial,11,163,138,352
50,homepage-hero-video__play,div#wistia_32.thumb_container > button,0,,0,,BUTTON,/html/body/div[3]/main/section/div/div[2]/div/div/div/button,BUTTON,Play video,12,50,648,328
27,pillars__block-link styled-link styled-link--skin-black,div#Start > div > a,0,Explore tools to start your business,0,Explore to,A,/html/body/div[3]/main/section[2]/div/div[2]/div/a,A,Explore tools to start your business,13,292,780,1255
27,pillars__block-link styled-link styled-link--skin-black,div#Sell > div > a,0,Explore ways to sell,0,Explore wa,A,/html/body/div[3]/main/section[2]/div/div[3]/div/a,A,Explore ways to sell,14,163,150,1757
27,pillars__block-link styled-link styled-link--skin-black,div#Market > div > a,0,Explore how to market your business,0,Explore ho,A,/html/body/div[3]/main/section[2]/div/div[4]/div/a,A,Explore how to market your business,15,304,640,2136
27,pillars__block-link styled-link styled-link--skin-black,div#Manage > div > a,0,Explore how to manage your business,0,Explore ho,A,/html/body/div[3]/main/section[2]/div/div[5]/div/a,A,Explore how to manage your business,16,312,150,2597
25,support__link styled-link styled-link--skin-black,main#Main > section:nth-of-type(3) > div > div > div > a,0,Visit the Help Center,0,Visit the ,A,/html/body/div[3]/main/section[3]/div/div/div/a,A,Visit the Help Center,17,152,148,3244
25,support__link styled-link styled-link--skin-black,main#Main > section:nth-of-type(3) > div > div > div:nth-of-type(2) > a,0,Visit the Shopify App Store,0,Visit the ,A,/html/body/div[3]/main/section[3]/div/div/div[2]/a,A,Visit the Shopify App Store,18,198,485,3287
25,support__link styled-link styled-link--skin-black,main#Main > section:nth-of-type(3) > div > div > div:nth-of-type(3) > a,0,Explore Shopify Experts,0,Explore Sh,A,/html/body/div[3]/main/section[3]/div/div/div[3]/a,A,Explore Shopify Experts,19,176,872,3264
20,map__control map__control--play,main#Main > section:nth-of-type(4) > div > div > div > div:nth-of-type(2) > div:nth-of-type(2) > button:nth-of-type(2),0,,0,,BUTTON,/html/body/div[3]/main/section[4]/div/div/div/div[2]/div[2]/button[2],BUTTON,Resume globe animation,20,20,852,4884
52,featured-testimonial__video-play-button marketing-button marketing-button--secondary,div#wistia_44.thumb_container > button,0,,0,,BUTTON,/html/body/div[3]/main/section[4]/div/div/div/div[3]/div[2]/div/div/div/button,BUTTON,Play Chioma and Uchenna’s story,21,330,696,5423
314,homepage-cards__card ui-card,main#Main > section:nth-of-type(5) > div:nth-of-type(2) > div > a,0,Create your brandGet started with the perfect business name.Explore business name generator,0,Create you,A,/html/body/div[3]/main/section[5]/div[2]/div/a,A,Create your brandGet started with the perfect business name.Explore business name generator,22,248,60,5934
314,homepage-cards__card ui-card,main#Main > section:nth-of-type(5) > div:nth-of-type(2) > div > a:nth-of-type(2),0,"Build your online storeCreate an online presence with our free, customizable themes.Explore Theme Store",0,Build your,A,/html/body/div[3]/main/section[5]/div[2]/div/a[2],A,"Build your online storeCreate an online presence with our free, customizable themes.Explore Theme Store",23,248,338,5934
314,homepage-cards__card ui-card,main#Main > section:nth-of-type(5) > div:nth-of-type(2) > div > a:nth-of-type(3),0,Buy a businessLaunch sooner when you buy an existing online store.Explore Exchange Marketplace,0,Buy a busi,A,/html/body/div[3]/main/section[5]/div[2]/div/a[3],A,Buy a businessLaunch sooner when you buy an existing online store.Explore Exchange Marketplace,24,248,615,5934
314,homepage-cards__card ui-card,main#Main > section:nth-of-type(5) > div:nth-of-type(2) > div > a:nth-of-type(4),0,"Move your businessSwitch to Shopify when you hire a certified expert to help you
migrate your store.Explore setup experts",0,Move your ,A,/html/body/div[3]/main/section[5]/div[2]/div/a[4],A,"Move your businessSwitch to Shopify when you hire a certified expert to help you
migrate your store.Explore setup experts",25,248,893,5934
